hakai_id,QPHY1358,QPHY1359,QPHY1360,QPHY1361,QPHY1362,QPHY1363,QPHY1364,QPHY1365,QPHY1366,QPHY1367,QPHY1368,QPHY1369
depth,5,5,5,5,5,5,5,5,5,5,5,5
Bacillariophyta,,,,,,,,,,,,
Achnanthes spp.,,,,,,,,,,,,
Actinoptychus senarius,,,,,,,,,,,,
Asterionellopsis glacialis,,444,,6220,,,432,,178,1728,,
Attheya spp.,,,,,,,,,,,,
Bacteriastrum spp.,,,,,,,,,,,,
Biddulphia sp.,,,,,,,,,,,,
Ceratulina bicornis,124,,40,1244,,280,144,,89,144,,
Chaetoceros ceratosporus,,,,622,,,144,,89,,,
Chaetoceros cinctus,1054,,,232656,,,51600,13098,14952,46028,,2112
Chaetoceros cinctus/radicans resting stg,,,,,,,,,,,,
Chaetoceros compressus,,,,,,,,,,,,
Chaetoceros concavicornis,,,,,,,,,,,,
Chaetoceros convolutus,,,,2177,280,200,576,267,445,360,,
Chaetoceros danicus,,,,,,,,704,445,144,,
Chetoceros debilis,248,5920,,17105,,,4896,267,4183,21200,,
Chaetocers debilis resting stg,,,,,,,,,,,,
Chaetoceros decipiens,,,,,,,,,1780,864,,
Chaetoceros diadema,,,,11196,,120,1152,,1246,576,,
Chaetoceros diadema resting stage,,,,,,,288,,,,,
Chaetoceros didymus,,,,,,,,,,1152,,
Chaetoceros laciniosus,496,,,13062,,,2016,1056,4005,5472,,
Chaetoceros lacinosus resting stage,,,,1244,,,,,,,,
Chaetoceros mitra resting stage,,,,,,,,,,,,
Chaetoceros radicans,,,,36387,,,,,1424,7632,,
Chaetoceros seiracanthus,,,,66896,,,10080,977,2759,19728,,96
Chaetoceros seiracanthus resting stage,,,,,,,432,,,720,,
Chaetoceros similis,,,,,,,,,,,,
Chaetoceros simplex,,,,,,,,,,,,
Chaetoceros socialis,558,,,190000,,,11376,888,8010,8640,,
Chaetoceros spp.,,296,,13684,,200,1584,2398,3382,2016,40,48
Chaetoeros spp. very small,,,,,,,,,,,,
Chaetoceros spp. resting stg,,,,,,,,,,,,
Chaetoceros subtilis,,,,,,,,,,,,
Chaetoceros tenuissimus (large),,,,,,,,,178,288,,
Chaetoceros tenuissimus (small),,,,,,5833,,7778,,10500,,
Cocconeis spp.,,,,,,,,,,,,
Corethron criophillum,,,,622,,1080,576,355,178,,,
Coscinodiscus spp.,,,,,,,,,89,,,
Cylindrotheca closterium,62,74,40,4354,,440,1008,534,1424,1152,,96
Dactyliosolen fragilissimus,,,,,,,288,356,89,144,,
Dactyliosolen phuketensis,,,,,,,,,,,,
Detonula pumila,,,,4354,,40,,,1691,,,
Ditylum brightwellii,,,,1244,,360,288,712,3204,1008,,
Ditylum brightwellii r.s.,,,,,,520,,,,,,
Eucampia groenlandica,,74,,2488,,160,144,,178,,,
Eucampia zodiacus,,,,4354,,,1440,,,,,
Fragilariopsis spp.,124,,,,,,,,,,,144
Grammatophora spp.,,,,,,,,,,,,
Guinardia delicatula,27986,11433,,1866,,,,267,890,432,,
Guinardia delicatula auxospore,62,,,,,,,,,,,
Lauderia annulata,,,,,,,,,,,,
Leptocylindrus danicus,,,,933,,,,1780,,2160,,
Licmophora spp.,,,,,,,,,,,,
Melosira sp.,,,,,,,,,,,,
Membraneis challengeri,,,,,,,,,,,,
Navicula sp.,,,,,,,,,89,,,
Odontella longicruris,,,,,,,,,,,,
Paralia sulcata,,,,,,,,,,,,
Pleurosigma spp.,,,,311,,,,,89,,,
Pseudo-nitzschia delicatissima,62,,,7153,,240,1584,,178,2448,,48
Pseudo-nitzschia multiseries,248,,,23947,,360,6624,712,1958,2736,,48
Pseudo-nitzschia seriata,806,518,40,70448,,560,11808,1335,7120,2016,,
Rhizosolenia setigera,62,,,,,,,623,178,144,,
Rhizosolenia setigera,,,,14306,160,120,1728,,801,3456,,
S. marinoi (large cells),,,,316000,,5085,158000,155104,606000,110704,520,192
S. marinoi (small cells),744,2294,1560,165168,280,480,1296,128464,12654,4752,,192
S. marinoi auxospores,,,,,,,,623,801,,,
Stephanopyxis nipponica,,,,,,,,,,,,
Stephanopyxis turris,,,,,,,,,,,,
Thalassionema nitzschioides,62,,,,,,,89,1157,288,,144
Thalassiosira anguste-lineata,,,,,,,,,,,,
Thalassiosira nordenskioldii,,,,,,,,,,,,
Thalassiosira pacifica,,,,,,,,,,,,
Thalassiosira rotula,310,518,,11507,,760,1728,445,6319,144,,
Thalassiosira spp.,496,370,120,10574,41,1040,2016,1691,5518,576,120,528
Thalassiosira sp. Auxospore,,,,,,,,,89,,,
Unidentified centric forms,,74,,311,,,,267,,,,48
Unidentified very small centric forms,1750,,,10500,,8751,15000,3889,14000,24500,,
Unidentified pennate forms,124,,,3421,44,520,864,712,623,1728,720,2112
Unidentified very small pennate forms,,,,94500,,,20000,,91000,178500,,
Unknown forms,,,,,,,,,,,,
Total Cells/L,35378,22015,1800,1340854,805,27149,309112,325391,799482,464080,1400,5808
,,,,,,,,,,,,
Chlorophyta-Prasinophyta,,,,,,,,,,,,
Oltmannsiella sp.,,,,,,,,,,,,
Pterosperma spp.,,,,,,2917,,,,,,7000
Pterosperma spp. resting stages,,,,,,,,,,,,
Pyramimonas grossii,,8750,6364,,7778,2917,,3889,14000,,,
Pyramimonas orientalis,,105000,3182,3500,31112,8751,5000,15556,14000,,2692,
Pyramimonas spp.,,,3182,,,,,,,,2692,
Tetraselmis gracilis,,,,,,,,,,,,
Unknown species,29750,315000,120916,87500,73891,46672,155000,112781,231000,87500,56538,196000
,,,,,,,,,,,,
Choanoflagellata,,,,,,,,,,,,
Bicosta minor,,,,,,,,,,,,
Calliacantha natans,,,,,,,,,,,,
Monosiga marina,,,6364,,,,,,,,,
Parvicorbicula socialis,,,,,,,,,,,,
Unknown species,,,60458,24500,,,15000,31112,56000,17500,,7000
,,,,,,,,,,,,
Chrysophyta,,,,,,,,,,,,
Apidinella spinifera,,,,,,11668,,,,,,
Dinobryon spp.,,,80,3500,,,10000,3889,,,,
Ochromonas spp.,,,,,,,5000,3889,,,,
Unknown species,,,,,,,,,,,,
,,,,,,,,,,,,
Ciliophora,,,,,,,,,,,,
Elongate form,124,222,40,,,,,,267,,,432
Myronecta rubra,4278,74,640,,1480,200,,2047,445,144,1640,1536
Oligotricious forms (medium),6448,5772,3400,933,4680,400,4752,4806,445,1008,3000,5562
Oligotricious forms (large),558,74,,,40,,,267,,,80,96
Oligotricious forms (small),2418,5846,6966,6842,2920,680,15000,1068,1424,576,2640,20600
Tintinnid forms,62,,,,,,,178,,,,48
,,,,,,,,,,,,
Cryptophyta,,,,,,,,,,,,
Hillea sp.,10500,866250,235468,59500,283897,195439,160000,143893,245000,31500,242280,609000
Teleaulax acuta,,,,,,,,,,,,
Teleaulax amphioxiae,,,,,,,,,,,,
Teleaulax spp.,14000,420000,299108,28000,268341,166269,25000,151671,392000,21000,121140,252000
,,,,,,,,,,,,
Cyanobacteria ,,,,,,,,445,,,,
,,,,,,,,,,,,
Dictyochophyta,,,,,,,,,,,,
Ciliophrys infusionum,62,,,,,,432,,,3500,,48
Dictyocha fibula,,,,,,,,,356,144,,48
Dictyocha octonaria,,,,,,,,,,,,
Dictyocha speculum,930,1850,80,,,40,144,356,1068,2304,200,48
Dictyocha spore forms,434,814,,622,160,,2016,356,445,288,80,288
Meringosphaerae mediterranea,,,,,,,,,,,,
Meringosphaerae spp,,,,,,,,,,3500,,
Meringosphaerae tenerrima,,,,,,,,,,,,
,,,,,,,,,,,,
Dinoflagellata,,,,,,,,,,,,
Alexandrium catenella,,,,,,,,,,576,,
Amylax triacantha,,,,,,,,,,,,
Ceratium divericatum,,,,,,,,,,,,
Ceratium lineatum,,,,,,,,,,,,
Ceratium fusus,124,296,,,,,,267,178,144,40,48
Ceratium horridum,,,,,,,,,,,,
Ceratium spp.,,,,,,,,,,,,
Dinophysis acuminata,62,1850,,,,,,,,144,40,
Dinophysis acuta,,74,,,,,,,,,,
Dinophysis fortii,310,444,,,,,144,,,144,,
Dinophysis rotundata,62,1332,,,,,,,,144,80,
Dinophysis sp.,124,370,,,,,,,89,,,
Gonyaulax spp.,,,,,,,,,,,,
Gymnodinium spp.,868,1406,40,311,,40,1728,356,267,1152,160,528
Gyrodinium spp.,124,740,1440,,,520,,534,178,144,40,144
Katodinium glaucum,,1110,,,80,,,,,144,,
Katodinium spp.,21000,3478,240,7000,11667,360,20000,15556,979,3500,2692,960
Noctiluca scintillans,,,,,,,,,,,,
Oxyphysis oxytoxoides,62,1110,,311,,,,89,,,,
Prorocentrum gracilis,,444,120,,,80,2160,,,,,
Prorocentrum micans,,,,,,,144,,,,,
Prorocentrum spp.,,74,,,,,,,,,,
Protoperidinium conicum,,,,,,,,,,144,40,
Protoperidinium depressun,,,,,,,,,,,,
Protoperidinium leonis,,,,,,,,,,,,
Protoperidinium oblongum,,,,,,,,,,,,
Protoperidinium spp.,186,74,,,,,,,,432,,
Protoperidinium steinii,,222,40,,,,,,89,,,
Pyrocystis lunula,,,,,,,,,,288,,
Resting stages,,,40,,80,,288,178,89,432,40,96
Scrippsiella precarea,,,,,,,,,,,40,
Scrippsiella trochoidea,,,,311,,,,,,144,,
Unknown species,62,296,40,,40,40,288,,267,144,,96
Unknown very small species (dino??),7000,17500,15910,14000,7778,,10000,7778,21000,7000,,
,,,,,,,,,,,,
Ebriidea,,,,,,,,,,,,
Ebria tripartita,868,148,,311,80,,432,534,267,432,120,144
,,,,,,,,,,,,
Euglenophyta,,,,,,,,,,,,
Eutriptiella hirudoidea,62,,,,,,,,,,,
Unknown species,,,,,40,,,,,,,7000
,,,,,,,,,,,,
Kinetoplastidea,,,,,,,,,,,,
Cafeteria minutae,,,,,,,,,,,,
Metromonas simplex,,,,,,,,,,,,
Phyllomitus yorkeensis,,,,,,,,,,,,
Pleurostomum gracile,,,,10500,,,,,,,,
Pseudobodo tremulans,,,,,,,,,,,,
Telonema subtilis,1750,,,,3889,,,,7000,,,14000
Unknown species,,,,3500,,,,,,,,14000
,,,,,,,,,,,,
Metazoa,,,,,,,,,,,,
Appendicularia,124,,,,,,,,,144,80,
Copepod nauplii/ekdysis,,,40,,40,,144,89,,,80,96
Copepodids,,,,,,,,,,,,
Crustacean pieces,62,,40,311,40,,144,89,,,160,144
Eggs,,,,,,,,,,144,,
Fecal Pellets,186,,120,622,160,120,1296,2225,1246,1584,600,1632
Oikopleura ejecta (?),,,,,,,,,,,,
,,,,,,,,,,,,
Protozoa,,,,,,,,,,,,
Foraminifera,,,,,,,,,,,,
Radiolaria,,,,,,,,,,,,
,,,,,,,,,,,,
Prymnesiophyta-Haptophyta,,,,,,,,,,,,
Chrysochromulina spp,,,,,,,,,,,,
Phaeocystis poucheteii,,,,,,,,,28000,,,
Phaeocystis poucheteii,,,,,,,,,,,,196000
,,,,,,,,,,,,
Raphidiophyta,,,,,,,,,,,,
Heterosigma akashiwo,,,,,,,,3889,,10500,,
,,,,,,,,,,,,
Unknown very small flagellated species,161000,735000,105006,392000,334454,90427,1265000,116670,553000,574000,457640,749000
,,,,,,,,,,,,
Unknown very small non-flagellated cells,,,,,,,,,,,,
,,,,,,,,,,,,
Unknown cells,,222,,,40,80,144,,178,144,400,288
