orig_name,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,taxonRemark,identificationQualifier,2018-01-03,2018-01-09,2018-01-22,2018-01-31,2018-02-06,2018-02-13,2018-02-19,2018-02-27,2018-03-06,2018-03-13,2018-03-20,2018-03-27,2018-04-12,2018-04-17,2018-04-24,2018-05-02,2018-05-08,2018-05-15,2018-05-22,2018-05-29,2018-06-05,2018-06-11,2018-06-18,2018-06-26,2018-07-11,2018-07-16,2018-07-23,2018-07-31,2018-08-09,2018-08-14,2018-08-21,2018-08-29,2018-09-04,2018-09-13,2018-09-18,2018-09-25,2018-10-04,2018-10-09,2018-10-16,2018-10-24,2018-10-30,2018-11-19,2018-11-28,2018-11-07,2018-11-16,2018-12-04
Corethron criophillum,Corethron criophilum,Species,Chromista,Ochrophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,NA,NA,NA,80,200,NA,NA,80,80,80,240,NA,40,NA,NA,900,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,148,NA,160,777,496,960,40,120,NA,NA,NA
Cylindrotheca closterium,Cylindrotheca closterium,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,NA,NA,NA,40,NA,400,880,80,240,120,160,NA,NA,NA,666,3900,1188,1134,814,10767,1665,7776,560,592,NA,40,40,NA,108,880,4176,82,NA,80,600,288,NA,NA,74,NA,40,111,186,48,40,40,80,NA,NA
Dactyliosolen phuketensis,Rhizosolenia phuketensis,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA,80,240,360,360,NA,80,40,5616,360,160,57312,24309,5400,4050,54,518,333,333,144,80,222,NA,NA,NA,NA,NA,160,5760,451,NA,NA,3200,1584,NA,NA,1258,666,NA,888,1426,144,NA,NA,40,40,200
Ditylum brightwellii,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,7164,3996,300,216,NA,NA,NA,NA,720,40,74,NA,NA,NA,NA,NA,NA,144,NA,NA,NA,400,NA,NA,NA,222,740,NA,888,310,NA,NA,80,NA,NA,NA
Paralia sulcata,Paralia sulcata,Species,Chromista,Ochrophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,NA,NA,NA,80,160,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,120,NA,NA,NA
Pseudo-nitzschia multiseries,Pseudo-nitzschia multiseries,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,40,NA,NA,240,NA,NA,NA,200,40,NA,7164,4218,3000,432,2268,1406,5106,6549,5184,1760,148,NA,NA,NA,NA,108,560,1872,NA,NA,NA,600,NA,440,240,NA,NA,NA,NA,186,96,NA,NA,7254,40,80
Pseudo-nitzschia seriata,Pseudo-nitzschia seriata,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,5106,5700,1026,378,814,2664,1776,3168,240,148,40,NA,NA,NA,NA,240,720,11655,360,200,310000,303030,120,3360,535000,214000,1760,196000,2666,75776,6828,440,440,NA,NA
Thalassiosira ,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,spp.,160,160,360,320,NA,40,240,1560,600,560,48556,17871,64800,1512,162,296,777,1998,4320,60,740,40,NA,NA,NA,378,1440,576,123,40,NA,3800,1152,NA,NA,518,666,NA,4662,372,960,600,280,280,240,120
Pyramimonas orientalis,Pyramimonas orientalis,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA,7000,NA,3000,21000,7778,NA,NA,4375,21000,52500,NA,NA,NA,NA,NA,14000,NA,4375,37328,21875,30625,NA,13998,1750,NA,21000,13125,3500,11668,17499,2500,7000,NA,NA,28000,23333,2333,11667,NA,2059,NA,5250,3500,NA,NA,NA
Protozoa ,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,alpha-starch,Chlorophyta?,33250,33250,50750,26250,93336,30000,42000,35000,112000,166250,31818,21000,21000,29750,NA,45500,7000,74375,11665,43750,87500,52506,16331,12250,84000,140000,52500,28000,26253,64163,45000,112000,35001,42424,91000,27223,67657,54446,45500,20590,29612,17500,7000,7000,42000,1750
Parvicorbicula socialis,Parvicorbicula socialis,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA,1750,NA,3000,1750,NA,NA,NA,NA,NA,4375,5303,26250,NA,10500,NA,7000,NA,13125,NA,NA,NA,NA,NA,NA,NA,NA,26250,NA,NA,NA,10000,21000,11667,5303,NA,3889,6999,NA,NA,NA,NA,NA,NA,NA,1750,NA
Choanozoa,Choanozoa,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,NA,NA,10500,12250,3000,NA,NA,NA,2333,61250,21000,4375,90151,22750,59500,21000,35000,3400,10500,NA,2333,4375,NA,NA,NA,NA,NA,21000,43750,NA,2917,NA,2500,21000,23334,5303,NA,23334,184307,15556,24500,18531,53840,NA,26250,7000,7000,7000
Myronecta rubra,Mesodinium rubrum,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA,1680,200,40,1080,600,400,1760,160,160,400,NA,NA,NA,54,162,296,NA,NA,NA,40,NA,80,480,240,120,54,240,NA,164,280,1600,NA,NA,520,40,NA,222,400,444,NA,1296,2680,360,480,1160,120
Hillea ,Hillea,Genus,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,NA,NA,sp.,64750,24500,77000,127750,307231,75000,132981,39375,91000,78750,16809,1750,NA,3000,NA,80500,8750,153125,18664,345625,30625,43755,44327,24500,47250,616000,301875,21000,166269,1154934,280000,287000,15556,519694,1050000,89447,9332,276119,224000,22649,88836,54250,78750,40250,84000,22750
Teleaulax ,Teleaulax,Genus,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,spp.,33250,35000,78750,29750,299453,95000,142313,48125,49000,39375,5303,1750,NA,NA,28000,252000,1750,183750,18664,223125,26250,67091,146979,21000,14000,343000,188125,3500,49589,180823,200000,490000,11667,254544,420000,77780,20997,93336,59500,18531,26920,10500,14000,1750,8750,1750
Dictyocha speculum,Octactis speculum,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA,520,840,440,200,80,NA,80,640,1640,4848,10606,NA,NA,216,432,74,111,111,144,280,NA,NA,NA,NA,NA,594,80,NA,41,160,2560,NA,NA,NA,40,148,74,40,NA,NA,384,3920,760,2840,560,640
Dictyocha ,Dictyocha,Genus,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,spores,NA,NA,80,NA,40,40,NA,40,NA,320,320,120,NA,NA,600,NA,378,666,NA,NA,NA,40,148,NA,120,NA,NA,756,320,1152,369,320,NA,NA,288,40,NA,NA,592,40,888,NA,96,NA,NA,120,120,NA
Gymnodinium ,Gymnodinium,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,NA,spp.,120,NA,NA,NA,40,40,NA,280,80,200,NA,444,300,1188,2538,1850,666,222,288,440,962,120,1000,NA,160,2052,480,1152,984,760,400,1400,144,480,120,1110,1036,40,NA,124,240,NA,NA,NA,120,80
Protozoa ,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,equatorial groove,Dinophyceae?,3000,3500,3000,1750,NA,2500,NA,NA,NA,NA,10606,7000,7000,28000,28000,24500,40250,4375,20997,21875,4375,NA,11665,NA,NA,7000,NA,14000,2917,NA,NA,28000,3889,NA,NA,7778,11665,NA,NA,2059,2692,NA,3500,NA,NA,NA
Telonema subtilis,Telonema subtile,Species,Chromista,Cryptophyta,Telonemea,Telonemida,NA,Telonema,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,NA,NA,21875,NA,NA,NA,NA,7000,3500,19250,4375,2333,4375,4375,NA,NA,NA,NA,NA,NA,NA,2917,NA,NA,NA,NA,5303,NA,NA,NA,NA,NA,NA,2692,NA,NA,NA,NA,NA
Protozoa,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,NA,NA,374500,133000,157500,110250,198339,207500,93320,385000,721000,943375,646966,157500,280000,260750,2996000,322000,229250,459375,146979,380625,791875,224609,111984,59500,199500,259000,258125,448000,285866,705793,80000,784000,431679,445452,420000,303342,249631,633907,322000,372679,269200,127750,222250,171500,183750,80500
Chaetoceros tenuissimus,Chaetoceros tenuissimus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,1750,NA,NA,3000,NA,40,NA,NA,NA,NA,NA,5361,10500,3500,NA,NA,7000,8750,9332,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,2059,144,NA,NA,NA,NA,NA
Chetoceros debilis,Chaetoceros debilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,320,640,NA,NA,NA,NA,80,NA,NA,324768,14541,48600,3942,NA,3700,NA,1110,36000,NA,NA,NA,NA,NA,NA,270,NA,432,NA,NA,NA,800,7200,NA,NA,962,296,NA,19008,3596,624,80,80,NA,NA,NA
Dactyliosolen fragilissimus,Rhizosolenia fragilissima f. fragilissima,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA,NA,40,80,NA,NA,NA,200,560,NA,NA,38208,4440,1500,540,NA,NA,NA,NA,144,160,666,NA,NA,NA,NA,108,560,3168,533,NA,80,35500,21400,NA,40,5994,7992,80,2442,3596,384,120,NA,40,NA,NA
Licmophora ,Licmophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,NA,NA,spp.,NA,120,80,40,NA,NA,NA,NA,NA,NA,796,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62,48,NA,40,NA,NA,NA
Melosira ,Melosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Melosiraceae,Melosira,NA,NA,sp.,NA,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Navicula ,Navicula,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,NA,sp.,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,864,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Teleaulax acuta,Teleaulax acuta,Species,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,NA,NA,1750,7000,26250,73891,15000,44327,4375,7000,17500,NA,NA,NA,NA,14000,21000,NA,NA,2333,NA,NA,2917,4666,NA,1750,54000,NA,NA,NA,NA,22500,42000,NA,5303,7000,NA,NA,11667,NA,4118,NA,NA,1750,NA,NA,NA
Dinophysis acuminata,Dinophysis acuminata,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,300,NA,54,NA,NA,111,1584,NA,296,NA,80,NA,NA,NA,NA,NA,NA,80,NA,1600,NA,NA,NA,NA,74,NA,111,NA,NA,40,40,NA,NA,NA
Kinetoplastea,Kinetoplastea,Class,Protozoa,Euglenozoa,Kinetoplastea,NA,NA,NA,NA,NA,NA,NA,5250,NA,NA,3889,NA,NA,4375,7000,NA,NA,3500,10500,1750,NA,7000,7000,4375,2333,NA,4375,2917,NA,NA,NA,7000,17500,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4118,NA,NA,NA,NA,NA,NA
Pennales,Pennales,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,NA,NA,NA,11060,2630,5770,NA,200,240,4855,4020,NA,1592,1998,17200,2322,1026,2294,3304,5883,10397,760,148,40,4747,NA,NA,108,280,1152,41,NA,80,1400,576,80,NA,148,11961,200,222,2369,3220,NA,3580,160,80,160
Chaetoceros danicus,Chaetoceros danicus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,777,NA,2160,NA,NA,1221,NA,720,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11200,12384,NA,NA,NA,NA,NA,NA,62,192,NA,NA,NA,80,NA
Monosiga marina,Monosiga marina,Species,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,Monosiga,NA,NA,NA,NA,NA,1750,NA,NA,NA,NA,NA,NA,4375,5303,21000,108500,7000,NA,NA,5250,4375,NA,NA,NA,NA,NA,NA,NA,NA,30625,NA,NA,NA,2500,7000,NA,5303,NA,NA,30329,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chrysophyceae,Chrysophyceae,Class,Chromista,Ochrophyta,Chrysophyceae,NA,NA,NA,NA,NA,NA,NA,NA,1750,NA,NA,2500,NA,NA,3500,NA,NA,3500,NA,1750,NA,7000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,3889,3500,NA,NA,NA,NA,NA,1750,NA
Tintinnina,Tintinnina,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54,162,NA,NA,NA,2160,80,888,NA,NA,NA,NA,216,40,144,82,NA,NA,400,NA,NA,NA,74,148,NA,111,124,192,NA,80,NA,40,NA
Katodinium ,Katodinium,Genus,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,spp.,NA,NA,40,NA,NA,NA,NA,200,NA,NA,796,111,300,108,54,222,444,111,432,240,74,40,520,NA,NA,378,320,576,164,400,80,200,432,NA,40,148,74,80,NA,NA,NA,NA,NA,NA,NA,NA
Dinophyceae ,Dinophyceae,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,resting spore,NA,NA,NA,NA,40,NA,NA,NA,NA,40,40,40,796,111,NA,108,486,148,NA,222,432,40,NA,NA,NA,NA,NA,NA,40,720,287,NA,NA,1400,288,NA,NA,1332,1776,40,NA,NA,NA,NA,NA,NA,NA,NA
Skeletonema marinoi,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA,NA,NA,280,600,NA,1400,240,13982,160,560,491132,37185,12600,1890,NA,148,555,100788,288,4160,NA,NA,200,NA,NA,8478,420,NA,53181,NA,160,7200,NA,NA,NA,3034,444,15636,2553,3224,2256,NA,NA,NA,2080,480
Chaetoceros ,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,spp.,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,15124,6882,10500,1242,702,2664,2331,1332,864,NA,NA,NA,NA,NA,NA,270,80,720,NA,NA,NA,400,8496,NA,NA,666,NA,NA,666,2480,960,40,80,NA,NA,NA
Oligotrichea,Oligotrichea,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,NA,NA,NA,NA,200,NA,NA,NA,NA,NA,NA,NA,15124,6882,10500,1242,702,2664,2331,1332,864,NA,NA,NA,NA,NA,NA,270,80,720,NA,NA,NA,400,8496,NA,NA,666,NA,NA,666,2480,960,40,80,NA,NA,NA
