Louis_class,Louis_name,status,unacceptreason,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationRemark,identificationQualifier
Bacillariophyta,Achnanthes,accepted,NA,Achnanthes,Genus,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Achnanthaceae,Achnanthes,NA,NA,spp. Indet.
Bacillariophyta,Actinoptychus senarius,alternate representation,NA,Actinocyclus senarius,Species,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Heliopeltaceae,Actinoptychus,NA,NA,NA
Bacillariophyta,Asterionellopsis glacialis,alternate representation,NA,Asterionella glacialis,Species,Chromista,Ochrophyta,Bacillariophyceae,Fragilariales,Fragilariaceae,Asterionellopsis,NA,NA,NA
Bacillariophyta,Attheya,accepted,NA,Attheya,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Attheyaceae,Attheya,NA,NA,spp. Indet.
Bacillariophyta,Bacillariophyceae,accepted,NA,Bacillariophyceae,Class,Chromista,Ochrophyta,Bacillariophyceae,NA,NA,NA,NA,NA,Indet.
Bacillariophyta,Biddulphiales,accepted,NA,Biddulphiales,Order,Chromista,Ochrophyta,Bacillariophyceae,Biddulphiales,NA,NA,NA,NA,Indet.
Bacillariophyta,Ceratulina bicornis,alternate representation,NA,Syringidium bicorne,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Cerataulina,NA,NA,NA
Bacillariophyta,Chaetoceros,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,spp. Indet.
Bacillariophyta,Chaetoceros,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,Unable to distinguish between Chaetoceros cinctus and radicans,spp. Indet.
Bacillariophyta,Chaetoceros,accepted,NA,Chaetoceros,Genus,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,spp. Indet.
Bacillariophyta,Chaetoceros ceratosporus,uncertain,unassessed,Chaetoceros ceratosporus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros cinctus,accepted,NA,Chaetoceros cinctus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros compressus,accepted,NA,Chaetoceros compressus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros concavicornis,accepted,NA,Chaetoceros concavicornis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros convolutus,accepted,NA,Chaetoceros convolutus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros danicus,uncertain,unassessed,Chaetoceros danicus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros debilis,accepted,NA,Chaetoceros debilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,NA
Bacillariophyta,Chaetoceros decipiens,accepted,NA,Chaetoceros decipiens,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros diadema,alternate representation,NA,Syndendrium diadema,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,NA
Bacillariophyta,Chaetoceros diadema,alternate representation,NA,Syndendrium diadema,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros didymus,accepted,NA,Chaetoceros didymus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros laciniosus,accepted,NA,Chaetoceros laciniosus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros laciniosus,accepted,NA,Chaetoceros laciniosus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,NA
Bacillariophyta,Chaetoceros mitra,alternate representation,NA,Dicladia mitra,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,NA
Bacillariophyta,Chaetoceros radicans,uncertain,unassessed,Chaetoceros radicans,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros seiracanthus,uncertain,unassessed,Chaetoceros seiracanthus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,resting spores,NA,NA
Bacillariophyta,Chaetoceros seiracanthus,uncertain,unassessed,Chaetoceros seiracanthus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros similis,accepted,NA,Chaetoceros similis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros simplex,accepted,NA,Chaetoceros simplex,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros socialis,accepted,NA,Chaetoceros socialis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros subtilis,accepted,NA,Chaetoceros subtilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chaetoceros tenuissimus,accepted,NA,Chaetoceros tenuissimus,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Chetoceros debilis,accepted,NA,Chaetoceros debilis,Species,Chromista,Ochrophyta,Bacillariophyceae,Chaetocerotanae incertae sedis,Chaetocerotaceae,Chaetoceros,NA,NA,NA
Bacillariophyta,Cocconeis,accepted,NA,Cocconeis,Genus,Chromista,Ochrophyta,Bacillariophyceae,Achnanthales,Cocconeidaceae,Cocconeis,NA,NA,spp. Indet.
Bacillariophyta,Corethron criophillum,uncertain,unassessed,Corethron criophilum,Species,Chromista,Ochrophyta,Bacillariophyceae,Corethrales,Corethraceae,Corethron,NA,NA,NA
Bacillariophyta,Coscinodiscus,accepted,NA,Coscinodiscus,Genus,Chromista,Ochrophyta,Bacillariophyceae,Coscinodiscales,Coscinodiscaceae,Coscinodiscus,NA,NA,spp. Indet.
Bacillariophyta,Cylindrotheca closterium,accepted,NA,Cylindrotheca closterium,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Cylindrotheca,NA,NA,NA
Bacillariophyta,Dactyliosolen fragilissimus,alternate representation,NA,Rhizosolenia fragilissima f. fragilissima,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA
Bacillariophyta,Dactyliosolen phuketensis,alternate representation,NA,Rhizosolenia phuketensis,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Dactyliosolen,NA,NA,NA
Bacillariophyta,Detonula pumila,alternate representation,NA,Lauderia pumila,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Detonula,NA,NA,NA
Bacillariophyta,Ditylum brightwellii,uncertain,unassessed,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,NA,NA,NA
Bacillariophyta,Ditylum brightwellii,uncertain,unassessed,Ditylum brightwellii,Species,Chromista,Ochrophyta,Bacillariophyceae,Lithodesmiales,Lithodesmiaceae,Ditylum,resting spores,NA,NA
Bacillariophyta,Eucampia groenlandica,uncertain,unassessed,Eucampia groenlandica,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,NA,NA,NA
Bacillariophyta,Eucampia zodiacus,uncertain,unassessed,Eucampia zodiacus,Species,Chromista,Ochrophyta,Bacillariophyceae,Hemiaulales,Hemiaulaceae,Eucampia,NA,NA,NA
Bacillariophyta,Grammatophora,accepted,NA,Grammatophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Striatellales,Striatellaceae,Grammatophora,NA,NA,spp. Indet.
Bacillariophyta,Guinardia delicatula,alternate representation,NA,Rhizosolenia delicatula,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Guinardia,NA,NA,NA
Bacillariophyta,Leptocylindrus danicus,uncertain,unassessed,Leptocylindrus danicus,Species,Chromista,Ochrophyta,Bacillariophyceae,Leptocylindrales,Leptocylindraceae,Leptocylindrus,NA,NA,NA
Bacillariophyta,Licmophora,accepted,NA,Licmophora,Genus,Chromista,Ochrophyta,Bacillariophyceae,Licmophorales,Licmophoraceae,Licmophora,NA,NA,spp. Indet.
Bacillariophyta,Melosira,accepted,NA,Melosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Melosiraceae,Melosira,NA,NA,sp. Indet.
Bacillariophyta,Membraneis challengeri,alternate representation,NA,Navicula challengeri,Species,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Membraneis,NA,NA,NA
Bacillariophyta,Navicula,accepted,NA,Navicula,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Naviculaceae,Navicula,NA,NA,sp. Indet.
Bacillariophyta,Odontella longicruris,alternate representation,NA,Hobaniella longicruris,Species,Chromista,Ochrophyta,Bacillariophyceae,Triceratiales,Triceratiaceae,Odontella,NA,NA,NA
Bacillariophyta,Paralia sulcata,accepted,NA,Paralia sulcata,Species,Chromista,Ochrophyta,Bacillariophyceae,Paraliales,Paraliaceae,Paralia,NA,NA,NA
Bacillariophyta,Pennales,accepted,NA,Pennales,Order,Chromista,Ochrophyta,Bacillariophyceae,Pennales,NA,NA,NA,NA,Indet.
Bacillariophyta,Pleurosigma,accepted,NA,Pleurosigma,Genus,Chromista,Ochrophyta,Bacillariophyceae,Naviculales,Pleurosigmataceae,Pleurosigma,NA,NA,spp. Indet.
Bacillariophyta,Pseudo-nitzschia delicatissima,accepted,NA,Pseudo-nitzschia delicatissima,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Pseudo-nitzschia multiseries,accepted,NA,Pseudo-nitzschia multiseries,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Pseudo-nitzschia seriata,accepted,NA,Pseudo-nitzschia seriata,Species,Chromista,Ochrophyta,Bacillariophyceae,Bacillariales,Bacillariaceae,Pseudo-nitzschia,NA,NA,NA
Bacillariophyta,Rhizosolenia setigera,accepted,NA,Rhizosolenia setigera,Species,Chromista,Ochrophyta,Bacillariophyceae,Rhizosoleniales,Rhizosoleniaceae,Rhizosolenia,NA,NA,NA
Bacillariophyta,Skeletonema marinoi,uncertain,unassessed,Skeletonema marinoi,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Skeletonemaceae,Skeletonema,NA,NA,NA
Bacillariophyta,Stephanopyxis nipponica,alternate representation,unassessed,Eupyxidicula nipponica,Species,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,NA,NA,NA
Bacillariophyta,Stephanopyxis turris,accepted,NA,Stephanopyxis turris,Species,Chromista,Ochrophyta,Bacillariophyceae,Melosirales,Stephanopyxidaceae,Stephanopyxis,NA,NA,NA
Bacillariophyta,Striatella unipunctata,alternate representation,NA,Fragilaria unipunctata,Species,Chromista,Ochrophyta,Bacillariophyceae,Striatellales,Striatellaceae,Striatella,NA,NA,NA
Bacillariophyta,Thalassionema nitzschioides,alternate representation,NA,Synedra nitzschioides f. nitzschioides,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassionematales,Thalassionemataceae,Thalassionema,NA,NA,NA
