Louis_class,Louis_name,status,unacceptreason,scientificName_accepted,rank,kingdom,phylum,class,order,family,genus,lifeStage,identificationRemark,identificationQualifier
Bacillariophyta,Thalassiosira,accepted,NA,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,spp. Indet.
Bacillariophyta,Thalassiosira,accepted,NA,Thalassiosira,Genus,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,Auxospores,NA,sp. Indet.
Bacillariophyta,Thalassiosira anguste-lineata,alternate representation,NA,Coscinodiscus angustelineatus,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira nordenskioeldii,accepted,NA,Thalassiosira nordenskioeldii,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira pacifica,uncertain,unassessed,Thalassiosira pacifica,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Bacillariophyta,Thalassiosira rotula,uncertain,unassessed,Thalassiosira rotula,Species,Chromista,Ochrophyta,Bacillariophyceae,Thalassiosirales,Thalassiosiraceae,Thalassiosira,NA,NA,NA
Chlorophyta,Pterosperma,accepted,NA,Pterosperma,Genus,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,NA,NA,spp. Indet.
Chlorophyta,Pterosperma,accepted,NA,Pterosperma,Genus,Plantae,Chlorophyta,Prasinophyceae,Halosphaerales,Pterospermataceae,Pterosperma,resting spores,NA,spp. Indet.
Chlorophyta,Pyramimonas grossii,alternate representation,NA,Pyramimonas subg. Trichocystis grossii,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA
Chlorophyta,Pyramimonas orientalis,accepted,NA,Pyramimonas orientalis,Species,Plantae,Chlorophyta,Pyramimonadophyceae,Pyramimonadales,Pyramimonadaceae,Pyramimonas,NA,NA,NA
Chlorophyta,Tetraselmis gracilis,accepted,NA,Tetraselmis gracilis,Species,Plantae,Chlorophyta,Chlorodendrophyceae,Chlorodendrales,Chlorodendraceae,Tetraselmis,NA,NA,NA
Choanoflagellata,Calliacantha natans,accepted,NA,Calliacantha natans,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Calliacantha,NA,NA,NA
Choanoflagellata,Choanozoa,accepted,NA,Choanozoa,Phylum,Protozoa,Choanozoa,NA,NA,NA,NA,NA,NA,Indet.
Choanoflagellata,Monosiga marina,accepted,NA,Monosiga marina,Species,Protozoa,Choanozoa,Choanoflagellatea,Craspedida,Codonosigaceae,Monosiga,NA,NA,NA
Choanoflagellata,Parvicorbicula socialis,accepted,NA,Parvicorbicula socialis,Species,Protozoa,Choanozoa,Choanoflagellatea,Acanthoecida,Acanthoecidae,Parvicorbicula,NA,NA,NA
Chrysophyta,Chrysophyceae,accepted,NA,Chrysophyceae,Class,Chromista,Ochrophyta,Chrysophyceae,NA,NA,NA,NA,NA,Indet.
Chrysophyta,Dinobryon,accepted,NA,Dinobryon,Genus,Chromista,Ochrophyta,Chrysophyceae,Chromulinales,Dinobryaceae,Dinobryon,NA,NA,spp. Indet.
Chrysophyta,Meringosphaerae mediterranea,accepted,NA,Meringosphaera mediterranea,Species,Chromista,Ochrophyta,Xanthophyceae,Mischococcales,Pleurochloridaceae,Meringosphaera,NA,NA,NA
Ciliophora,Myronecta rubra,unaccepted,junior synonym,Mesodinium rubrum,Species,Chromista,Ciliophora,Litostomatea,Cyclotrichiida,Mesodiniidae,Myrionecta,NA,NA,NA
Ciliophora,Oligotrichea,accepted,NA,Oligotrichea,Class,Chromista,Ciliophora,Oligotrichea,NA,NA,NA,NA,NA,Indet.
Ciliophora,Tintinnina,accepted,NA,Tintinnina,Suborder,Chromista,Ciliophora,Oligotrichea,Choreotrichida,NA,NA,NA,NA,Indet.
Cryptophyta,Hillea,accepted,NA,Hillea,Genus,Chromista,Cryptophyta,Cryptophyceae,Cryptomonadales,Hilleaceae,Hillea,NA,NA,sp. Indet.
Cryptophyta,Teleaulax,accepted,NA,Teleaulax,Genus,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,spp. Indet.
Cryptophyta,Teleaulax acuta,accepted,NA,Teleaulax acuta,Species,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,NA
Cryptophyta,Teleaulax amphioxiae,accepted,NA,Teleaulax amphioxeia,Species,Chromista,Cryptophyta,Cryptophyceae,Pyrenomonadales,Geminigeraceae,Teleaulax,NA,NA,NA
Cyanobacteria,Cyanobacteria,accepted,NA,Cyanobacteria,Phylum,Bacteria,Cyanobacteria,NA,NA,NA,NA,NA,NA,Indet.
Dictyophyta,Apedinella spinifera,unaccepted,synonym,Apedinella radians,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Apedinella,NA,NA,NA
Dictyophyta,Ciliophrys infusionum,accepted,NA,Ciliophrys infusionum,Species,Chromista,Ochrophyta,Dictyochophyceae,Pedinellales,Pedinellaceae,Ciliophrys,NA,NA,NA
Dictyophyta,Dictyocha,accepted,NA,Dictyocha,Genus,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,spores,NA,Indet.
Dictyophyta,Dictyocha fibula,accepted,NA,Dictyocha fibula,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA
Dictyophyta,Dictyocha speculum,unaccepted,NA,Octactis speculum,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Dictyocha,NA,NA,NA
Dictyophyta,Octactis octonaria,accepted,NA,Octactis octonaria,Species,Chromista,Ochrophyta,Dictyochophyceae,Dictyochales,Dictyochaceae,Octactis,NA,NA,NA
Dinoflagellata,Alexandrium catenella,accepted,NA,Alexandrium catenella,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ostreopsidaceae,Alexandrium,NA,NA,NA
Dinoflagellata,Ceratium,accepted,NA,Ceratium,Genus,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,spp. Indet.
Dinoflagellata,Ceratium fusus,unaccepted,NA,Tripos fusus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Ceratium horridum,unaccepted,NA,Tripos horridus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Ceratium lineatum,unaccepted,NA,Tripos lineatus,Species,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Ceratiaceae,Ceratium,NA,NA,NA
Dinoflagellata,Dinophyceae,accepted,NA,Dinophyceae,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,resting spores,NA,Indet.
Dinoflagellata,Dinophyceae,accepted,NA,Dinophyceae,Class,Chromista,Myzozoa,Dinophyceae,NA,NA,NA,NA,NA,Indet.
Dinoflagellata,Dinophysis,accepted,NA,Dinophysis,Genus,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,sp. Indet.
Dinoflagellata,Dinophysis acuminata,accepted,NA,Dinophysis acuminata,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis acuta,accepted,NA,Dinophysis acuta,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis fortii,accepted,NA,Dinophysis fortii,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Dinophysis rotundata,unaccepted,synonym,Phalacroma rotundatum,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Dinophysis,NA,NA,NA
Dinoflagellata,Gonyaulax,accepted,NA,Gonyaulax,Genus,Chromista,Myzozoa,Dinophyceae,Gonyaulacales,Gonyaulacaceae,Gonyaulax,NA,NA,spp. Indet.
Dinoflagellata,Gymnodinium,accepted,NA,Gymnodinium,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gymnodinium,NA,NA,spp. Indet.
Dinoflagellata,Gyrodinium,accepted,NA,Gyrodinium,Genus,Chromista,Myzozoa,Dinophyceae,Gymnodiniales,Gymnodiniaceae,Gyrodinium,NA,NA,spp. Indet.
Dinoflagellata,Katodinium,accepted,NA,Katodinium,Genus,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,spp. Indet.
Dinoflagellata,Katodinium glaucum,unaccepted,NA,Lebouridinium glaucum,Species,Chromista,Myzozoa,Dinophyceae,Tovelliales,Tovelliaceae,Katodinium,NA,NA,NA
Dinoflagellata,Noctiluca scintillans,accepted,NA,Noctiluca scintillans,Species,Chromista,Myzozoa,Dinophyceae,Noctilucales,Noctilucaceae,Noctiluca,NA,NA,NA
Dinoflagellata,Oxyphysis oxytoxoides,unaccepted,synonym,Phalacroma oxytoxoides,Species,Chromista,Myzozoa,Dinophyceae,Dinophysiales,Dinophysaceae,Oxyphysis,NA,NA,NA
Dinoflagellata,Prorocentrum,accepted,NA,Prorocentrum,Genus,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,spp. Indet.
Dinoflagellata,Prorocentrum gracilis,accepted,NA,Prorocentrum gracile,Species,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,NA
Dinoflagellata,Prorocentrum micans,accepted,NA,Prorocentrum micans,Species,Chromista,Myzozoa,Dinophyceae,Prorocentrales,Prorocentraceae,Prorocentrum,NA,NA,NA
Dinoflagellata,Protoperidinium,accepted,NA,Protoperidinium,Genus,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,spp. Indet.
Dinoflagellata,Protoperidinium conicum,accepted,NA,Protoperidinium conicum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium depressun,accepted,NA,Protoperidinium depressum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium leonis,accepted,NA,Protoperidinium leonis,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium oblongum,accepted,NA,Protoperidinium oblongum,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Protoperidinium steinii,accepted,NA,Protoperidinium steinii,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Protoperidiniaceae,Protoperidinium,NA,NA,NA
Dinoflagellata,Scrippsiella precarea,accepted,NA,Scrippsiella precaria,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA
Dinoflagellata,Scrippsiella trochoidea,unaccepted,NA,Scrippsiella acuminata,Species,Chromista,Myzozoa,Dinophyceae,Peridiniales,Peridiniaceae,Scrippsiella,NA,NA,NA
Ebriidea,Ebria tripartita,accepted,NA,Ebria tripartita,Species,Protozoa,NA,Ebriophyceae,Ebriales,Ebriaceae,Ebria,NA,NA,NA
Euglenophyta,Euglenozoa,accepted,NA,Euglenozoa,Phylum,Protozoa,Euglenozoa,NA,NA,NA,NA,NA,NA,Indet.
Euglenophyta,Eutriptiella hirudoidea,accepted,NA,Eutreptiella hirudoidea,Species,Protozoa,Euglenozoa,Euglenoidea,Eutreptiida,Eutreptiaceae,Eutreptiella,NA,NA,NA
Haptophyta,Chrysochromulina,accepted,NA,Chrysochromulina,Genus,Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NA,spp. Indet.
Haptophyta,Chrysochromulina hirta,unaccepted,synonym,Haptolina hirta,Species,Chromista,Haptophyta,Prymnesiophyceae,Prymnesiales,Chrysochromulinaceae,Chrysochromulina,NA,NA,NA
Haptophyta,Phaeocystis pouchetii,accepted,NA,Phaeocystis pouchetii,Species,Chromista,Haptophyta,Prymnesiophyceae,Phaeocystales,Phaeocystaceae,Phaeocystis,NA,NA,NA
Kinetoplastidea,Kinetoplastea,accepted,NA,Kinetoplastea,Class,Protozoa,Euglenozoa,Kinetoplastea,NA,NA,NA,NA,NA,Indet.
Kinetoplastidea,Metromonas simplex,accepted,NA,Metromonas simplex,Species,Chromista,Cercozoa,Metromonadea,Metromonadea incertae sedis,NA,Metromonas,NA,NA,NA
Kinetoplastidea,Pseudobodo tremulans,accepted,NA,Pseudobodo tremulans,Species,Chromista,Bigyra,Bicoecea,Bicoecida,Cafeteriaceae,Pseudobodo,NA,NA,NA
Kinetoplastidea,Telonema subtilis,unaccepted,Spelling variation,Telonema subtile,Species,Chromista,Cryptophyta,Telonemea,Telonemida,NA,Telonema,NA,NA,NA
Metazoa,Appendicularia,accepted,NA,Appendicularia,Genus,Animalia,Chordata,Appendicularia,Copelata,Fritillariidae,Appendicularia,NA,NA,Indet.
Metazoa,copepoda,accepted,NA,Copepoda,Subclass,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,nauplii,NA,Indet.
Metazoa,copepoda,accepted,NA,Copepoda,Subclass,Animalia,Arthropoda,Hexanauplia,NA,NA,NA,copepodites,NA,Indet.
Raphidiophyta,Heterosigma akashiwo,accepted,NA,Heterosigma akashiwo,Species,Chromista,Ochrophyta,Raphidophyceae,Chattonellales,Chattonellaceae,Heterosigma,NA,NA,NA
Unknown,Protozoa,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Cells too small to identify. Stained blue indicating alpha starch and could be Chlorophyta,Indet.
Unknown,Protozoa,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,NA,Indet.
Unknown,Protozoa,accepted,NA,Protozoa,Kingdom,Protozoa,NA,NA,NA,NA,NA,NA,Cells too small to identify. Showed equatorial groove and could be Dinophyceae,Indet.
